date,PP,PSOE,ERC,PNVEAJ,CC,BNG,Cs,VOX,Podemos,EHBildu,PACMA,PDeCAT,Comp,JuntsxCat,Naplus,MP,CUP,Sumar,firm,date_from,sample_size
2013-09-06,30.9,27.8,2.3,1.5,0.9,0.8,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Celeste-Tel,2013-09-02,1100
2013-09-06,37.9,25.2,2.1,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Feedback,2013-09-02,1500
2013-09-09,28.1,23.3,NA,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Simple Lógica,2013-09-03,NA
2013-09-13,32.4,27.4,2.1,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GAD3,2013-09-10,935
2013-09-13,26.1,23.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Invymark,2013-09-09,NA
2013-09-20,33.8,26.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NC Report,2013-09-09,955
2013-09-27,26,23.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Invymark,2013-09-23,NA
2013-10-03,34.1,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Metroscopia,2013-10-02,1000
2013-10-05,31.5,28.1,2.3,1.4,0.9,0.8,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Celeste-Tel,2013-10-01,1100
2013-10-07,27.5,21.6,NA,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Simple Lógica,2013-10-01,1001
2013-10-09,34,26.8,2.5,1.2,0.5,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CIS,2013-10-01,2485
2013-10-10,33.2,25.8,2.6,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GAD3,2013-10-07,805
2013-10-11,35,26.9,2.2,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NC Report,2013-10-02,920
2013-10-14,28.3,34.8,2.2,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Intercampo,2013-09-16,1726
2013-10-18,27.2,23.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Invymark,2013-10-14,NA
2013-10-31,32.5,21.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DYM,2013-10-22,967
2013-11-04,27.1,22.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MyWord,2013-10-30,1000
2013-11-07,31.8,28.2,2.4,1.4,0.9,0.9,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Celeste-Tel,2013-11-02,1100
2013-11-08,28.2,23.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Invymark,2013-11-04,NA
